Unnamed: 0,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
2443.0,35.0,1,1.0,13.0,2,1,3.0,3.0,0,4.0,2,2.0,1.0,3.0,1.0,1.0,1,20363.0
2016.0,29.0,1,3.0,16.0,2,1,3.0,3.0,0,3.0,2,2.0,0.0,4.0,1.0,0.0,1,17642.0
1561.0,51.0,1,3.0,27.0,3,1,3.0,3.0,1,3.0,2,1.0,1.0,5.0,0.0,2.0,2,20441.0
304.0,39.0,1,1.0,6.0,3,1,2.0,2.0,3,3.0,1,1.0,0.0,3.0,1.0,0.0,3,24613.0
628.0,37.0,1,3.0,22.0,3,1,3.0,4.0,1,3.0,1,5.0,0.0,5.0,1.0,2.0,2,21334.0
710.0,33.0,0,3.0,23.0,2,1,2.0,3.0,4,3.0,2,2.0,0.0,3.0,1.0,1.0,0,32444.0
4045.0,51.0,0,3.0,19.0,3,0,4.0,4.0,3,3.0,3,6.0,0.0,5.0,1.0,3.0,3,27886.0
3738.0,42.0,1,1.0,12.0,2,1,3.0,2.0,1,4.0,3,5.0,0.0,5.0,1.0,1.0,2,25548.0
2763.0,33.0,1,3.0,15.0,1,0,4.0,5.0,1,4.0,0,3.0,1.0,2.0,1.0,1.0,2,23906.0
3267.0,30.0,0,1.0,17.0,2,0,4.0,4.0,0,4.0,1,2.0,0.0,5.0,1.0,1.0,1,21969.0
2779.0,41.0,1,3.0,7.0,3,1,3.0,6.0,1,3.0,0,4.0,1.0,3.0,1.0,1.0,2,26135.0
3466.0,38.0,0,1.0,12.0,1,1,3.0,2.0,0,3.0,3,2.0,0.0,5.0,1.0,1.0,1,22178.0
3418.0,28.0,0,3.0,9.0,2,1,3.0,6.0,1,3.0,3,5.0,0.0,4.0,1.0,2.0,2,23749.0
3668.0,27.0,1,1.0,24.0,3,1,4.0,6.0,0,3.0,1,3.0,0.0,3.0,0.0,3.0,1,20983.0
1788.0,27.0,1,1.0,11.0,2,0,2.0,3.0,0,4.0,2,2.0,1.0,3.0,0.0,1.0,1,17478.0
4430.0,24.0,1,1.0,11.0,3,1,3.0,2.0,0,5.0,1,4.0,0.0,4.0,0.0,2.0,1,21497.0
2076.0,34.0,0,1.0,22.0,2,0,3.0,4.0,0,3.0,2,2.0,0.0,5.0,1.0,2.0,1,17553.0
4856.0,37.0,1,3.0,17.0,3,1,3.0,5.0,3,5.0,1,2.0,0.0,5.0,0.0,1.0,3,25772.0
2317.0,34.0,0,1.0,7.0,3,1,3.0,4.0,1,5.0,2,1.0,0.0,1.0,0.0,0.0,2,20343.0
216.0,30.0,0,3.0,32.0,3,0,2.0,4.0,1,5.0,3,6.0,0.0,2.0,0.0,1.0,2,21696.0
1640.0,27.0,1,1.0,23.0,1,1,2.0,3.0,0,4.0,1,1.0,1.0,4.0,0.0,0.0,1,18058.0
3290.0,36.0,1,1.0,9.0,2,1,3.0,5.0,3,4.0,1,4.0,0.0,4.0,1.0,1.0,3,28952.0
1713.0,40.0,1,1.0,30.0,1,1,3.0,3.0,1,3.0,1,2.0,0.0,3.0,1.0,1.0,2,18319.0
2908.0,38.0,1,1.0,7.0,1,0,3.0,4.0,3,3.0,3,6.0,0.0,5.0,1.0,2.0,3,26169.0
3770.0,33.0,1,3.0,9.0,3,1,3.0,5.0,1,4.0,2,2.0,1.0,1.0,1.0,1.0,2,28585.0
4251.0,30.0,1,1.0,16.0,2,1,2.0,5.0,0,3.0,3,2.0,0.0,1.0,1.0,1.0,1,22661.0
2169.0,52.0,1,1.0,6.0,2,1,3.0,3.0,4,3.0,1,3.0,0.0,1.0,1.0,2.0,0,32099.0
3681.0,33.0,1,3.0,7.0,2,1,3.0,6.0,1,4.0,3,8.0,0.0,3.0,0.0,2.0,2,25413.0
4806.0,20.0,0,1.0,17.0,3,0,4.0,5.0,0,4.0,2,3.0,1.0,5.0,0.0,3.0,1,20537.0
8.0,38.0,0,1.0,29.0,2,1,2.0,4.0,3,3.0,3,1.0,0.0,3.0,0.0,0.0,3,24526.0
2114.0,31.0,1,1.0,17.0,2,1,2.0,3.0,0,3.0,1,4.0,1.0,3.0,0.0,0.0,1,17356.0
3223.0,52.0,1,1.0,11.0,2,1,3.0,4.0,0,3.0,0,2.0,1.0,2.0,1.0,2.0,1,21139.0
4056.0,39.0,1,1.0,10.0,1,0,3.0,4.0,1,3.0,3,5.0,1.0,5.0,1.0,1.0,2,22995.0
4051.0,40.0,1,3.0,11.0,2,0,3.0,5.0,1,3.0,1,6.0,0.0,5.0,1.0,2.0,2,24580.0
3409.0,26.0,1,1.0,26.0,3,1,4.0,4.0,0,3.0,0,5.0,0.0,5.0,1.0,3.0,1,22347.0
1223.0,47.0,0,3.0,15.0,2,1,2.0,5.0,4,3.0,1,1.0,0.0,5.0,1.0,1.0,0,27936.0
2234.0,28.0,1,3.0,16.0,3,1,3.0,3.0,0,4.0,1,2.0,0.0,5.0,0.0,2.0,1,16052.0
3272.0,19.0,0,1.0,15.0,3,1,4.0,4.0,0,3.0,2,3.0,0.0,5.0,0.0,1.0,1,20582.0
2031.0,52.0,1,3.0,9.0,3,1,2.0,4.0,4,5.0,1,2.0,0.0,5.0,1.0,0.0,0,31856.0
2615.0,20.0,0,3.0,7.0,1,0,4.0,6.0,0,5.0,2,2.0,0.0,3.0,1.0,2.0,1,21003.0
2471.0,43.0,1,3.0,15.0,3,1,3.0,4.0,1,4.0,0,2.0,0.0,3.0,0.0,2.0,2,25503.0
4807.0,30.0,1,1.0,8.0,2,0,4.0,4.0,0,3.0,1,3.0,0.0,1.0,1.0,3.0,1,22438.0
3896.0,51.0,0,3.0,7.0,2,1,4.0,4.0,1,3.0,1,2.0,0.0,3.0,1.0,2.0,2,25406.0
4122.0,41.0,0,1.0,16.0,2,1,4.0,5.0,1,3.0,1,2.0,0.0,5.0,0.0,2.0,2,23554.0
2598.0,33.0,0,3.0,15.0,3,0,3.0,4.0,3,3.0,3,3.0,0.0,4.0,1.0,2.0,3,27676.0
2806.0,22.0,0,3.0,16.0,3,1,3.0,4.0,0,3.0,3,3.0,0.0,4.0,0.0,1.0,1,21288.0
1831.0,40.0,1,1.0,16.0,2,0,2.0,1.0,0,3.0,1,4.0,1.0,3.0,0.0,1.0,1,17213.0
1972.0,53.0,1,3.0,6.0,3,0,2.0,3.0,1,5.0,3,1.0,0.0,1.0,1.0,1.0,2,23381.0
3512.0,29.0,0,1.0,9.0,3,1,3.0,5.0,0,5.0,2,2.0,0.0,4.0,0.0,1.0,1,21239.0
4405.0,44.0,0,1.0,16.0,3,1,4.0,4.0,1,3.0,1,5.0,1.0,3.0,1.0,3.0,2,24357.0
2942.0,23.0,1,1.0,13.0,3,1,4.0,4.0,0,3.0,0,2.0,0.0,2.0,1.0,1.0,1,21451.0
3268.0,43.0,1,1.0,36.0,3,1,3.0,6.0,1,3.0,3,6.0,0.0,3.0,1.0,1.0,2,22950.0
2180.0,33.0,0,3.0,23.0,2,1,2.0,3.0,4,3.0,2,2.0,0.0,3.0,1.0,0.0,0,32444.0
4272.0,37.0,0,3.0,7.0,3,0,3.0,4.0,1,3.0,3,6.0,0.0,1.0,1.0,2.0,2,25331.0
1432.0,37.0,1,1.0,16.0,2,0,2.0,1.0,3,3.0,1,2.0,1.0,1.0,0.0,1.0,3,28744.0
4241.0,40.0,1,3.0,10.0,3,0,3.0,4.0,1,3.0,1,6.0,1.0,4.0,1.0,2.0,2,23916.0
4510.0,36.0,1,1.0,7.0,2,0,3.0,2.0,0,3.0,2,5.0,0.0,3.0,1.0,2.0,1,21184.0
3636.0,50.0,1,1.0,23.0,3,0,4.0,4.0,0,5.0,1,6.0,1.0,1.0,1.0,2.0,1,21265.0
1827.0,21.0,0,3.0,6.0,1,0,3.0,4.0,0,4.0,2,2.0,1.0,5.0,1.0,2.0,1,17174.0
4816.0,28.0,1,3.0,9.0,3,0,4.0,6.0,2,4.0,2,4.0,1.0,5.0,1.0,2.0,4,21195.0
2657.0,52.0,1,1.0,15.0,2,1,3.0,5.0,3,4.0,0,7.0,0.0,3.0,1.0,2.0,3,31168.0
2416.0,40.0,1,1.0,14.0,3,1,3.0,4.0,0,3.0,3,2.0,1.0,4.0,1.0,2.0,1,24094.0
2322.0,29.0,1,1.0,12.0,3,0,2.0,3.0,0,3.0,1,2.0,0.0,3.0,0.0,1.0,1,18131.0
53.0,35.0,0,1.0,17.0,3,1,3.0,4.0,3,5.0,0,3.0,1.0,5.0,1.0,1.0,3,24884.0
4187.0,38.0,1,3.0,13.0,3,1,4.0,4.0,1,3.0,1,6.0,0.0,3.0,1.0,1.0,2,25180.0
110.0,51.0,0,1.0,6.0,3,0,1.0,4.0,3,5.0,3,4.0,0.0,2.0,1.0,0.0,3,22484.0
4276.0,22.0,0,3.0,16.0,3,1,3.0,4.0,0,3.0,3,3.0,0.0,4.0,1.0,1.0,1,21288.0
2069.0,36.0,1,2.0,19.0,2,1,2.0,3.0,0,4.0,1,5.0,0.0,3.0,1.0,1.0,1,17143.0
2365.0,31.0,1,1.0,17.0,3,1,3.0,3.0,1,5.0,1,2.0,1.0,1.0,1.0,1.0,2,21833.0
3837.0,28.0,1,3.0,16.0,3,1,3.0,4.0,1,3.0,3,3.0,0.0,1.0,0.0,2.0,2,22783.0
4230.0,50.0,1,1.0,7.0,1,0,3.0,5.0,4,3.0,2,2.0,1.0,3.0,0.0,1.0,0,32642.0
4747.0,28.0,1,1.0,13.0,2,1,3.0,5.0,0,3.0,1,3.0,0.0,1.0,1.0,2.0,1,21217.0
1229.0,40.0,1,1.0,14.0,2,0,3.0,3.0,1,5.0,1,3.0,1.0,1.0,0.0,0.0,2,21516.0
252.0,29.0,1,1.0,21.0,2,1,2.0,3.0,0,3.0,2,2.0,0.0,3.0,0.0,0.0,1,17340.0
3728.0,40.0,1,1.0,17.0,3,1,4.0,4.0,3,3.0,2,2.0,0.0,3.0,1.0,1.0,3,32142.0
3365.0,29.0,0,1.0,7.0,3,1,3.0,4.0,0,3.0,2,2.0,1.0,4.0,0.0,1.0,1,20832.0
4800.0,31.0,1,1.0,8.0,3,1,4.0,4.0,0,4.0,1,2.0,1.0,4.0,1.0,3.0,1,22257.0
148.0,41.0,1,1.0,15.0,2,1,3.0,3.0,0,5.0,0,3.0,0.0,2.0,0.0,2.0,1,17238.0
980.0,31.0,0,3.0,8.0,2,0,2.0,4.0,0,3.0,2,1.0,0.0,5.0,0.0,1.0,1,17785.0
2931.0,21.0,1,1.0,7.0,2,0,3.0,5.0,0,4.0,3,3.0,0.0,4.0,1.0,1.0,1,21514.0
3800.0,42.0,1,3.0,15.0,3,0,3.0,4.0,1,4.0,1,7.0,0.0,3.0,1.0,2.0,2,23071.0
4573.0,29.0,1,3.0,12.0,3,1,4.0,4.0,1,3.0,3,3.0,0.0,3.0,0.0,2.0,2,23586.0
3712.0,54.0,0,1.0,7.0,3,0,3.0,5.0,4,3.0,1,6.0,1.0,1.0,0.0,1.0,0,31643.0
105.0,59.0,0,2.0,8.0,2,0,2.0,4.0,2,3.0,0,1.0,0.0,2.0,1.0,1.0,4,33844.0
258.0,51.0,1,1.0,6.0,2,1,3.0,3.0,0,3.0,0,2.0,0.0,4.0,1.0,0.0,1,17723.0
2883.0,32.0,0,1.0,27.0,2,1,4.0,4.0,3,3.0,0,5.0,0.0,3.0,1.0,1.0,3,28502.0
4622.0,37.0,0,3.0,15.0,1,1,3.0,4.0,1,3.0,1,6.0,0.0,3.0,1.0,2.0,2,23757.0
401.0,56.0,0,3.0,12.0,2,0,2.0,2.0,4,5.0,0,1.0,0.0,3.0,1.0,0.0,0,28212.0
1881.0,60.0,1,1.0,13.0,2,0,2.0,3.0,2,5.0,1,6.0,0.0,5.0,1.0,0.0,4,34566.0
2673.0,30.0,1,1.0,25.0,3,1,3.0,5.0,0,3.0,2,3.0,1.0,3.0,0.0,2.0,1,21067.0
3904.0,30.0,1,1.0,35.0,3,0,4.0,5.0,0,5.0,3,3.0,0.0,1.0,0.0,2.0,1,22463.0
3993.0,47.0,1,2.0,12.0,3,1,4.0,4.0,1,4.0,1,2.0,1.0,5.0,1.0,3.0,2,23699.0
4356.0,37.0,0,3.0,17.0,3,1,3.0,4.0,3,3.0,2,3.0,0.0,1.0,1.0,2.0,3,28658.0
4076.0,29.0,1,1.0,28.0,3,1,3.0,4.0,0,3.0,1,3.0,0.0,1.0,0.0,1.0,1,21391.0
3995.0,36.0,1,1.0,7.0,3,1,2.0,5.0,0,3.0,3,3.0,0.0,4.0,1.0,1.0,1,21537.0
1127.0,23.0,1,1.0,16.0,1,1,2.0,1.0,0,3.0,1,3.0,0.0,1.0,1.0,0.0,1,17073.0
2519.0,32.0,1,1.0,15.0,2,0,4.0,4.0,1,3.0,3,3.0,0.0,5.0,0.0,2.0,2,23102.0
4496.0,41.0,0,1.0,9.0,3,0,3.0,2.0,1,4.0,1,3.0,0.0,3.0,0.0,1.0,2,22922.0
3117.0,34.0,1,1.0,7.0,2,1,4.0,5.0,0,5.0,3,5.0,1.0,4.0,0.0,1.0,1,21477.0
4507.0,37.0,1,1.0,7.0,2,0,3.0,4.0,1,4.0,1,2.0,0.0,5.0,1.0,2.0,2,23906.0
64.0,36.0,1,1.0,14.0,1,0,2.0,3.0,3,3.0,1,2.0,0.0,4.0,1.0,1.0,3,25096.0
990.0,33.0,0,3.0,11.0,2,1,3.0,3.0,1,3.0,0,7.0,0.0,1.0,1.0,2.0,2,24998.0
4212.0,37.0,0,1.0,25.0,2,1,3.0,2.0,0,3.0,1,6.0,0.0,5.0,1.0,2.0,1,22366.0
3172.0,55.0,1,1.0,24.0,1,0,3.0,4.0,3,3.0,0,2.0,0.0,5.0,1.0,1.0,3,29417.0
3926.0,32.0,1,1.0,33.0,2,1,3.0,4.0,0,3.0,1,3.0,0.0,3.0,1.0,2.0,1,21589.0
67.0,45.0,1,1.0,13.0,2,1,2.0,3.0,3,5.0,1,3.0,0.0,3.0,1.0,1.0,3,24724.0
3591.0,50.0,1,1.0,32.0,2,0,3.0,4.0,0,5.0,1,3.0,0.0,3.0,0.0,1.0,1,21889.0
3132.0,20.0,1,3.0,28.0,2,1,3.0,5.0,0,4.0,2,3.0,1.0,2.0,0.0,2.0,1,20799.0
1519.0,35.0,1,1.0,14.0,2,1,2.0,1.0,0,3.0,1,2.0,0.0,5.0,1.0,1.0,1,17269.0
1621.0,35.0,1,3.0,6.0,3,1,3.0,3.0,3,4.0,1,2.0,0.0,4.0,0.0,0.0,3,22295.0
2045.0,54.0,1,1.0,25.0,3,0,3.0,3.0,1,5.0,1,1.0,1.0,3.0,0.0,2.0,2,20485.0
1210.0,33.0,1,1.0,27.0,3,1,3.0,1.0,0,4.0,1,2.0,0.0,1.0,1.0,1.0,1,17028.0
3982.0,36.0,0,1.0,7.0,3,1,4.0,4.0,0,5.0,1,6.0,0.0,1.0,0.0,2.0,1,20872.0
2562.0,37.0,1,1.0,10.0,2,0,3.0,4.0,0,3.0,1,7.0,0.0,2.0,1.0,1.0,1,21513.0
3882.0,24.0,0,3.0,16.0,3,1,3.0,4.0,0,5.0,1,3.0,0.0,5.0,1.0,1.0,1,20468.0
2154.0,40.0,1,3.0,16.0,3,1,3.0,4.0,3,4.0,1,3.0,0.0,4.0,0.0,0.0,3,24705.0
1251.0,30.0,1,3.0,21.0,3,1,3.0,4.0,3,5.0,1,3.0,0.0,1.0,0.0,2.0,3,22140.0
3601.0,36.0,0,1.0,15.0,2,0,3.0,4.0,1,3.0,1,3.0,0.0,5.0,1.0,2.0,2,22826.0
4341.0,61.0,0,3.0,35.0,3,0,4.0,5.0,3,5.0,1,6.0,0.0,1.0,1.0,1.0,3,28944.0
3780.0,56.0,1,1.0,9.0,1,1,4.0,5.0,0,3.0,1,2.0,0.0,5.0,0.0,1.0,1,21340.0
4207.0,27.0,1,3.0,11.0,3,1,3.0,5.0,1,3.0,3,3.0,1.0,1.0,1.0,1.0,2,24506.0
4375.0,36.0,1,3.0,7.0,3,0,4.0,4.0,1,3.0,3,3.0,0.0,4.0,1.0,1.0,2,23537.0
620.0,35.0,1,1.0,33.0,3,0,2.0,4.0,0,5.0,2,2.0,0.0,4.0,1.0,1.0,1,17559.0
3089.0,30.0,1,3.0,7.0,3,0,3.0,5.0,0,3.0,1,8.0,1.0,2.0,0.0,2.0,1,21478.0
3885.0,57.0,0,1.0,7.0,2,1,3.0,4.0,1,3.0,1,3.0,0.0,3.0,0.0,1.0,2,24984.0
4444.0,28.0,1,1.0,7.0,2,0,4.0,4.0,3,5.0,1,3.0,0.0,4.0,0.0,3.0,3,26090.0
1693.0,38.0,1,3.0,9.0,2,1,3.0,3.0,3,3.0,1,1.0,0.0,1.0,1.0,1.0,3,25609.0
2880.0,34.0,1,1.0,17.0,3,1,3.0,6.0,0,3.0,1,2.0,0.0,5.0,0.0,1.0,1,22086.0
3920.0,60.0,1,1.0,10.0,3,0,3.0,2.0,0,5.0,1,6.0,1.0,1.0,0.0,2.0,1,21348.0
2314.0,30.0,1,3.0,16.0,3,1,3.0,4.0,1,3.0,1,2.0,0.0,1.0,0.0,1.0,2,21578.0
3044.0,33.0,1,1.0,11.0,2,0,4.0,5.0,1,3.0,0,3.0,0.0,4.0,1.0,1.0,2,24840.0
2922.0,26.0,1,3.0,20.0,3,1,3.0,4.0,0,3.0,0,3.0,0.0,3.0,1.0,1.0,1,20774.0
3607.0,38.0,1,1.0,17.0,3,0,4.0,4.0,0,4.0,1,3.0,0.0,1.0,1.0,1.0,1,22614.0
2439.0,48.0,1,3.0,8.0,3,1,2.0,4.0,1,4.0,3,1.0,1.0,1.0,1.0,0.0,2,22898.0
3641.0,21.0,1,3.0,16.0,2,1,3.0,4.0,0,5.0,3,3.0,0.0,1.0,0.0,2.0,1,21406.0
3918.0,28.0,1,1.0,9.0,3,1,3.0,4.0,0,4.0,1,2.0,0.0,5.0,1.0,2.0,1,22146.0
3517.0,29.0,1,1.0,36.0,2,1,4.0,6.0,1,4.0,0,3.0,0.0,1.0,1.0,3.0,2,25227.0
4881.0,41.0,1,2.0,25.0,2,1,3.0,2.0,0,5.0,1,2.0,0.0,1.0,1.0,2.0,1,21065.0
4837.0,35.0,1,3.0,16.0,3,1,3.0,4.0,3,3.0,1,6.0,0.0,3.0,1.0,2.0,3,23168.0
3798.0,57.0,1,1.0,31.0,2,1,4.0,4.0,0,3.0,2,3.0,0.0,3.0,0.0,1.0,1,21265.0
1134.0,35.0,1,1.0,13.0,2,1,3.0,4.0,0,3.0,1,2.0,0.0,3.0,1.0,0.0,1,17690.0
214.0,30.0,1,1.0,9.0,1,0,2.0,3.0,0,5.0,2,6.0,1.0,4.0,1.0,1.0,1,17657.0
3844.0,39.0,0,2.0,7.0,2,1,3.0,4.0,0,4.0,1,2.0,1.0,1.0,1.0,2.0,1,21669.0
41.0,27.0,1,1.0,8.0,2,0,2.0,3.0,0,5.0,1,2.0,0.0,3.0,0.0,1.0,1,17341.0
549.0,34.0,1,1.0,14.0,3,0,3.0,3.0,1,3.0,2,4.0,0.0,4.0,1.0,1.0,2,21142.0
4173.0,32.0,0,1.0,36.0,3,1,4.0,5.0,0,4.0,3,2.0,0.0,3.0,0.0,3.0,1,22157.0
529.0,38.0,1,1.0,6.0,2,0,2.0,2.0,1,3.0,3,1.0,0.0,2.0,1.0,1.0,2,22625.0
1585.0,37.0,1,3.0,9.0,2,1,2.0,3.0,3,3.0,3,3.0,0.0,3.0,0.0,1.0,3,22428.0
4791.0,47.0,1,1.0,9.0,1,1,3.0,4.0,1,3.0,1,4.0,0.0,1.0,0.0,1.0,2,26057.0
126.0,58.0,1,1.0,29.0,3,0,3.0,3.0,3,3.0,0,2.0,0.0,3.0,1.0,0.0,3,25312.0
193.0,43.0,0,1.0,13.0,3,1,2.0,2.0,0,3.0,1,5.0,0.0,4.0,0.0,1.0,1,17089.0
3095.0,48.0,1,3.0,9.0,3,0,3.0,4.0,1,3.0,0,2.0,1.0,2.0,1.0,1.0,2,23215.0
3509.0,56.0,1,1.0,11.0,2,1,2.0,4.0,1,3.0,0,2.0,1.0,4.0,0.0,1.0,2,22713.0
243.0,40.0,1,1.0,30.0,1,1,3.0,3.0,1,3.0,1,2.0,0.0,3.0,1.0,1.0,2,18319.0
1723.0,42.0,1,1.0,23.0,2,0,2.0,1.0,1,5.0,3,4.0,1.0,1.0,1.0,1.0,2,21545.0
1094.0,40.0,1,3.0,15.0,3,1,2.0,3.0,1,5.0,1,1.0,0.0,3.0,1.0,1.0,2,20473.0
4740.0,39.0,1,2.0,7.0,2,1,3.0,2.0,0,3.0,1,3.0,0.0,4.0,1.0,1.0,1,21522.0
2278.0,29.0,1,1.0,34.0,2,0,3.0,3.0,0,3.0,1,5.0,0.0,5.0,1.0,0.0,1,17514.0
4860.0,41.0,1,1.0,15.0,3,1,4.0,5.0,0,3.0,3,3.0,1.0,4.0,1.0,3.0,1,27772.0
367.0,50.0,1,1.0,16.0,1,1,3.0,4.0,3,3.0,3,7.0,0.0,5.0,0.0,2.0,3,25496.0
4052.0,26.0,1,3.0,35.0,2,1,3.0,5.0,1,3.0,1,4.0,0.0,4.0,1.0,2.0,2,27317.0
1692.0,37.0,0,1.0,17.0,2,1,2.0,3.0,3,3.0,1,2.0,1.0,3.0,1.0,1.0,3,27185.0
3136.0,33.0,1,1.0,10.0,3,0,4.0,4.0,1,5.0,0,3.0,0.0,2.0,1.0,2.0,2,25403.0
2172.0,30.0,1,3.0,14.0,2,1,3.0,3.0,3,3.0,1,6.0,0.0,3.0,1.0,0.0,3,22264.0
3593.0,28.0,1,1.0,26.0,2,1,4.0,5.0,0,5.0,1,3.0,0.0,1.0,0.0,1.0,1,22744.0
2421.0,41.0,0,3.0,15.0,2,1,2.0,5.0,4,3.0,1,1.0,0.0,5.0,1.0,1.0,0,21151.0
966.0,58.0,1,1.0,13.0,3,0,2.0,4.0,3,5.0,0,1.0,1.0,4.0,1.0,0.0,3,25008.0
4545.0,45.0,1,1.0,15.0,2,1,4.0,2.0,0,3.0,1,4.0,1.0,3.0,1.0,1.0,1,21496.0
657.0,29.0,1,1.0,13.0,3,0,3.0,4.0,0,3.0,1,7.0,0.0,5.0,1.0,0.0,1,17532.0
3011.0,35.0,1,3.0,9.0,2,1,3.0,4.0,1,3.0,3,3.0,0.0,5.0,0.0,1.0,2,24952.0
3168.0,25.0,1,1.0,24.0,3,0,3.0,5.0,1,3.0,1,3.0,0.0,3.0,1.0,2.0,2,23055.0
4126.0,28.0,0,3.0,27.0,2,0,3.0,4.0,1,3.0,2,3.0,0.0,1.0,1.0,2.0,2,28659.0
2003.0,40.0,0,3.0,11.0,2,1,2.0,4.0,3,5.0,1,6.0,1.0,5.0,0.0,0.0,3,25475.0
1851.0,30.0,1,3.0,8.0,1,1,3.0,3.0,0,4.0,1,2.0,0.0,3.0,1.0,0.0,1,17476.0
2173.0,38.0,0,3.0,16.0,1,0,2.0,3.0,1,3.0,2,2.0,1.0,3.0,1.0,0.0,2,20666.0
4250.0,30.0,1,1.0,15.0,2,1,4.0,6.0,0,5.0,1,3.0,1.0,3.0,0.0,2.0,1,20797.0
2493.0,36.0,1,1.0,15.0,2,1,3.0,3.0,0,3.0,0,3.0,0.0,5.0,1.0,2.0,1,20947.0
1701.0,42.0,1,1.0,10.0,1,1,2.0,3.0,2,3.0,1,2.0,0.0,1.0,0.0,0.0,4,34232.0
2502.0,32.0,1,1.0,14.0,2,1,3.0,4.0,1,3.0,1,5.0,0.0,3.0,1.0,1.0,2,24593.0
1710.0,39.0,1,1.0,6.0,3,0,3.0,3.0,0,3.0,1,1.0,0.0,3.0,1.0,0.0,1,17232.0
2500.0,36.0,0,3.0,25.0,2,1,4.0,4.0,3,5.0,0,3.0,0.0,4.0,1.0,1.0,3,27747.0
3058.0,27.0,0,1.0,12.0,3,0,3.0,5.0,0,3.0,0,3.0,1.0,2.0,0.0,2.0,1,21044.0
2358.0,35.0,0,3.0,14.0,3,0,3.0,4.0,3,3.0,1,5.0,1.0,5.0,1.0,2.0,3,25377.0
3394.0,32.0,0,3.0,9.0,2,0,3.0,4.0,3,3.0,1,3.0,1.0,1.0,1.0,1.0,3,28530.0
2625.0,35.0,1,1.0,34.0,3,0,4.0,4.0,0,4.0,2,4.0,0.0,3.0,1.0,1.0,1,20989.0
